,name,figi,ticker,class_code,isin,currency,lot,cap
202,Центр международной торговли - привилегированные акции,BBG000TG6VR8,WTCMP,TQBR,RU0008137088,rub,100,15.41
203,Башнефть - привилегированные акции,BBG004S686N0,BANEP,TQBR,RU0007976965,rub,1,369.57
204,Славнефть-Мегионнефтегаз - привилегированные акции,BBG000NLL888,MFGSP,TQBR,RU0009011134,rub,10,54.73
205,O'Key Group SA,BBG00172J7S9,OKEY,TQBR,US6708662019,rub,10,8.34
213,Софтлайн,TCS00A0ZZBC2,SOFL,TQBR,RU000A0ZZBC2,rub,10,39.99
214,Россети Центр и Приволжье,BBG000VG1034,MRKP,TQBR,RU000A0JPN96,rub,10000,36.18
216,X5 RetailGroup ГДР,BBG00JXPFBN0,FIVE,TQBR,US98387E2054,rub,1,547.35
217,Якутскэнерго,BBG000HJXDM0,YKEN,TQBR,RU0009257075,rub,10000,6.00
219,Пермэнергосбыт - акции привилегированные,BBG000MZL2S9,PMSBP,TQBR,RU000A0ET156,rub,10,9.12
220,Татнефть,BBG004RVFFC0,TATN,TQBR,RU0009033591,rub,1,1513.10
222,Камчатскэнерго,BBG000P69JH9,KCHE,TQBR,RU0006753498,rub,10000,28.48
223,ДИОД,BBG000R0L782,DIOD,TQBR,RU000A0JQWC1,rub,100,1.46
224,Банк УРАЛСИБ,BBG000BY39G2,USBN,TQBR,RU0006929536,rub,10000,56.94
225,Европейская Электротехника,BBG001V474L5,EELT,TQBR,RU000A0JWW54,rub,10,7.58
227,Мечел,BBG004S68598,MTLR,TQBR,RU000A0DKXV5,rub,1,166.05
230,НМТП,BBG004S68BR5,NMTP,TQBR,RU0009084446,rub,100,214.94
231,Южный Кузбасс,BBG000RK0SD9,UKUZ,TQBR,RU0005294775,rub,1,54.95
232,Артген,TCS10A0JNAB6,ABIO,TQBR,RU000A0JNAB6,rub,10,9.24
234,Акрон,BBG004S688G4,AKRN,TQBR,RU0009028674,rub,1,691.03
236,Красный Октябрь,BBG000NLB2G3,KROT,TQBR,RU0008913850,rub,10,22.52
237,ДЭК,BBG000V07CB8,DVEC,TQBR,RU000A0JP2W1,rub,1000,53.98
239,Ковровский механический завод,BBG000Q136G4,KMEZ,TQBR,RU0006753613,rub,1,6.49
240,ЗИЛ,BBG000NN26P0,ZILL,TQBR,RU0009086193,rub,1,8.38
